Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Brunei,1992,2.7,0.18,0.65,0.05,0
Bulgaria,1992,37.16,8.12,3.77,5.11,0
Burkina Faso,1992,,,,,0
Burundi,1992,,,,,0
Cambodia,1992,,,,,0
Cameroon,1992,0.03,0.19,1.55,0.53,0
Canada,1992,145.45,82.86,124.38,82.24,4.70386
Cape Verde,1992,,,,,0
Central African Republic,1992,,,,,0
Chad,1992,,,,,0
Chile,1992,7.06,9.41,10.18,4.26,1.18166
China,1992,863.21,1010.09,127.1,461.63,0
Colombia,1992,13.3,13.92,17.83,5.04,0.87489
Comoros,1992,,,,,0
Congo,1992,0.01,0.08,0.43,0.08,0
"Congo, Dem. Republic",1992,0.05,0.69,0.44,1.13,0
Cook Islands,1992,,,,,0
Costa Rica,1992,0.66,0.55,2.37,0.24,0
Cote d'Ivoire,1992,0.7,0.45,1.12,0.43,0
Croatia,1992,6.21,3.85,2.83,2.29,0
Cuba,1992,9,5.99,2.57,3.46,0
Cyprus,1992,2.11,1.11,1.29,0.21,0
Czech Republic,1992,63.06,39.86,8.16,20.3,
Denmark,1992,30.18,5.78,10.8,8.18,0.46553
Djibouti,1992,,,,,0
Dominica,1992,,,,,0
Dominican Republic,1992,4.33,0.89,2.43,1.34,0
Ecuador,1992,2.4,2.54,7,1.86,1.35093
Egypt,1992,27.27,27.89,17.05,8.78,4.12401
El Salvador,1992,0.64,0.85,1.58,0.2,0
Equatorial Guinea,1992,,,,,0
Eritrea,1992,0.27,0.02,0.11,0.02,
Estonia,1992,19.07,2.1,1.08,1.23,0
Ethiopia,1992,0.07,0.33,0.73,0.34,0
Fiji,1992,,,,,0
Finland,1992,18.99,14.91,11.24,8.54,0
France,1992,63.71,82.36,118.76,103.63,0
Gabon,1992,0.3,0.27,0.36,0.16,3.44073
Gambia,1992,,,,,0
Georgia,1992,8.74,4.14,2.36,4.64,0
Germany,1992,383.75,145.92,162.79,194.07,0.70348
Ghana,1992,0.09,0.52,1.77,0.47,0
Greece,1992,38.33,9.34,16.23,7.93,0.00498
Grenada,1992,,,,,0
Guatemala,1992,0.9,0.83,1.85,0.64,0
Guinea,1992,,,,,0
Guinea-Bissau,1992,,,,,0
Guyana,1992,,,,,0
Haiti,1992,0.13,0.25,0.4,0.05,0
Honduras,1992,0.11,0.77,1.15,0.4,0
Hungary,1992,24.35,10.61,7.04,15.79,0
Iceland,1992,0,0.46,0.63,0.79,0
India,1992,303.2,178.8,90.66,82.15,9.74735
Indonesia,1992,55.89,47.43,37.53,25.77,11.74365
Iran,1992,45.47,55.06,43.7,70.83,20.74839
Iraq,1992,29.55,9.34,24.08,4.74,0.18205
Ireland,1992,12.01,4.48,5.49,9.19,0
Israel,1992,22.51,2.92,6.96,3.99,0
Italy,1992,137.85,78.12,102.42,77.04,0
Jamaica,1992,3.58,0.71,1.06,2.48,0
Japan,1992,421.89,270.76,225.17,161.22,0
Jordan,1992,4.53,1.32,2.64,2.23,0
Kazakhstan,1992,110.03,92.82,15.67,35.69,0
Kenya,1992,0.47,1.53,2.53,0.84,0
Kiribati,1992,,,,,0
Korea (North),1992,13.55,63.01,3.35,15.6,0
Korea (South),1992,85.62,68.61,53.95,68.74,0
Kuwait,1992,11.96,6.77,4.49,0.26,0.91025
Kyrgyzstan,1992,2.69,3.32,2.68,4.46,0
Laos,1992,,,,,0
Latvia,1992,7,1.57,2.46,2.69,0
Lebanon,1992,2.59,0.4,3.2,0.7,0
Lesotho,1992,,,,,0
Liberia,1992,,,,,0
Libya,1992,15.27,4.37,6.26,1.48,3.933
Lithuania,1992,8.62,3.64,3.99,3.5,0
Luxembourg,1992,1.61,4.06,3.41,1.49,0
"Macedonia, FYR",1992,5.57,1.34,0.78,0.53,0
Madagascar,1992,,,,,0
Malawi,1992,,,,,0
Malaysia,1992,24.57,18.97,16.13,3.33,2.67036
Maldives,1992,,,,,0
Mali,1992,,,,,0
Malta,1992,1.52,0,0.52,0.1,0
Mauritania,1992,,,,,0
Mauritius,1992,,,,,0
Mexico,1992,109.76,64,89.85,28.71,0
Moldova,1992,12.98,1.19,2.18,3.28,0
Mongolia,1992,7.86,2.62,0.88,1.24,0
Montenegro,1992,,,,,
Morocco,1992,8.35,5.77,4.74,3.26,0
Mozambique,1992,0.09,0.15,0.68,0.16,0
Myanmar,1992,1.71,1.21,1.03,0.21,0.00749
Namibia,1992,0.03,0.01,0.5,0.67,0
Nauru,1992,,,,,0
Nepal,1992,0.04,0.14,0.43,0.5,0
Netherlands,1992,61.66,35.39,27.04,39.51,0.19275
New Zealand,1992,6.14,6.81,8.95,2.6,0.08311
Nicaragua,1992,0.77,0.26,0.91,0.16,0
Niger,1992,,,,,0
Nigeria,1992,11.49,5.84,18.52,4.99,45.33024
Niue,1992,,,,,0
Norway,1992,10.55,5.44,10.3,3.57,0.91485
Oman,1992,6.05,4.64,1.93,0.8,1.1291
Pakistan,1992,19.79,20.82,15.94,8.47,0
Palau,1992,,,,,
Panama,1992,1.21,0.68,1.4,0.25,0
Papua New Guinea,1992,,,,,0
Paraguay,1992,0.04,0.25,1.81,0.14,0
Peru,1992,4.01,4.37,6.83,4.23,0.37182
Philippines,1992,12.79,8.78,15.71,3.61,0
Poland,1992,210,38.45,21.28,64.45,0
Portugal,1992,20.07,9.36,11.29,3.83,0
Qatar,1992,9.32,5.45,1.57,0.1,0
Romania,1992,83.95,21,10.34,11.05,0
Russian Federation,1992,1205.15,249.42,278.22,256.92,19.35566
Rwanda,1992,,,,,0
Saint Kitts & Nevis,1992,,,,,0
Saint Lucia,1992,,,,,0
Saint Vincent & Grenadines,1992,,,,,0
Samoa,1992,,,,,0
Sao Tome & Principe,1992,,,,,0
Saudi Arabia,1992,94.56,29.19,53.97,2.68,21.29975
Senegal,1992,0.94,0.28,0.78,0.31,0
Serbia,1992,33.63,7.54,2.24,4.13,
Seychelles,1992,,,,,0
Sierra Leone,1992,,,,,0
Singapore,1992,25.51,1.65,4.71,0.16,0
Slovakia,1992,16.12,14.56,3.51,11.16,
Slovenia,1992,5.87,1.83,2.53,2.06,0
Solomon Islands,1992,,,,,0
South Africa,1992,144.74,56.35,29.76,14.52,0
Spain,1992,87.8,44.05,68.94,23.63,0.11893
Sri Lanka,1992,0.79,0.72,2.77,0.72,0
Sudan,1992,0.5,0.89,3.09,0.16,0
Suriname,1992,,,,,0
Swaziland,1992,,,,,0
Sweden,1992,11.6,14.03,20.21,10.29,0
Switzerland,1992,3.06,6.14,15.19,19.76,0
Syria,1992,8.35,5.29,7.08,8.71,1.61041
Taiwan,1992,60.7,38.03,24.04,9.11,0
Tajikistan,1992,1.68,0,0.36,5.38,0
Tanzania,1992,0.29,0.39,0.68,0.31,0
Thailand,1992,40.1,19.47,29.7,8.47,0
Togo,1992,0.04,0.01,0.27,0.05,0
Tonga,1992,,,,,0
Trinidad & Tobago,1992,5.36,5.04,1.34,0.23,3.55016
Tunisia,1992,4.62,3.36,2.61,2.56,0.01913
Turkey,1992,43.66,34.58,27.03,29.3,0.03039
Turkmenistan,1992,6.06,1.16,5.99,14.4,0
Uganda,1992,,,,,0
Ukraine,1992,270.09,186.36,40.56,62.46,0
United Arab Emirates,1992,14.86,29.8,11.68,0.27,1.52921
United Kingdom,1992,242.3,77.53,115.16,114.26,0
United States of America,1992,2251.15,607.72,1423.24,608.06,9.46644
Uruguay,1992,1.08,0.78,1.72,1.09,0
Uzbekistan,1992,47.88,3.78,6.6,55.88,0
Vanuatu,1992,,,,,0
Venezuela,1992,42.75,27.2,29.48,5.65,7.23563
Vietnam,1992,3,7.51,4.37,3.4,0
Yemen,1992,2.26,0,5.35,1.09,0
Zambia,1992,0.17,1.4,0.92,0.25,0
Zimbabwe,1992,8.65,4.53,2.19,2.42,0
World,1992,8817.12,4356.83,4086.46,3149.04,199.75898
European Union (15),1992,1157.99,565.17,710.71,644.6,1.48567
European Union (28),1992,1643.03,711.87,779.51,784.54,1.48567
Afghanistan,1993,,,,,0
Albania,1993,0.56,0.77,0.5,0.39,0
Algeria,1993,25.25,8.36,16.79,8.16,13.7877
Angola,1993,0.34,2.25,1.2,0.51,2.5851
Antigua & Barbuda,1993,,,,,0
Argentina,1993,34.53,16.11,35.39,24.54,4.1789
Armenia,1993,0.81,2.1,1.18,0.91,0
Australia,1993,146.81,46.86,62.54,12.89,0.36585
Austria,1993,17.47,10.08,15.18,13.25,0
Azerbaijan,1993,22.29,9.76,3.68,4.11,0
Bahamas,1993,,,,,0
Bahrain,1993,6.62,3.57,1.15,0.15,0
Bangladesh,1993,5.77,4.45,2.15,3.05,0
Barbados,1993,,,,,0
Belarus,1993,46.05,13.8,9.38,13.63,0
Belgium,1993,30.6,27.91,22.36,28.9,0
Belize,1993,,,,,0
Benin,1993,0.03,0.03,0.12,0.03,0
Bhutan,1993,,,,,0
Bolivia,1993,1.59,0.73,2.65,0.66,1.75625
Bosnia & Herzegovina,1993,5.87,2.68,0.84,3.73,0
Botswana,1993,1.75,0.67,0.79,0.17,0
Brazil,1993,30.01,62.04,89.15,29.48,1.8434
Brunei,1993,2.94,0.18,0.68,0.06,0
Bulgaria,1993,37.54,7.67,4.27,5.66,0
Burkina Faso,1993,,,,,0
Burundi,1993,,,,,0
Cambodia,1993,,,,,0
Cameroon,1993,0.03,0.2,1.67,0.55,3.96867
Canada,1993,137.28,83.83,126.29,86.88,4.26872
Cape Verde,1993,,,,,0
Central African Republic,1993,,,,,0
Chad,1993,,,,,0
Chile,1993,7.2,9.61,11.29,4.35,0.15657
China,1993,981.06,1061.23,141.96,476.74,0
Colombia,1993,13.95,18.09,18.08,5.56,0.32018
Comoros,1993,,,,,0
Congo,1993,0,0.07,0.44,0.08,2.36664
"Congo, Dem. Republic",1993,0.06,0.61,0.44,1.09,0
Cook Islands,1993,,,,,0
Costa Rica,1993,0.49,0.57,2.44,0.27,0
Cote d'Ivoire,1993,0.92,0.46,1.09,0.4,0
Croatia,1993,6.71,3.55,2.99,2.49,0
Cuba,1993,9.15,5.64,1.93,2.73,0
Cyprus,1993,2.22,1.18,1.32,0.2,0
Czech Republic,1993,64.02,33,8.12,21.57,0
Denmark,1993,31.74,5.7,11.07,8.78,0.40566
Djibouti,1993,,,,,0
Dominica,1993,,,,,0
Dominican Republic,1993,3.99,0.76,2.63,1.54,0
Ecuador,1993,1.84,2.36,7.08,1.9,1.17516
Egypt,1993,27.15,30.54,17.73,7.84,2.36664
El Salvador,1993,0.84,0.87,1.73,0.23,0
Equatorial Guinea,1993,,,,,0.92845
Eritrea,1993,0.33,0.04,0.21,0.05,
Estonia,1993,13.99,1.87,1.16,0.95,0
Ethiopia,1993,0.07,0.47,0.87,0.45,0
Fiji,1993,,,,,0
Finland,1993,21.99,14.28,11.01,7.47,0
France,1993,50.23,78.36,119.9,100.81,0
Gabon,1993,0.33,0.33,0.39,0.16,3.44073
Gambia,1993,,,,,0
Georgia,1993,6.06,3.23,2.04,4.69,0
Germany,1993,375.97,137.48,167.36,199.06,0.65205
Ghana,1993,0.09,0.47,1.78,0.48,0
Greece,1993,38.4,9.05,16.44,7.79,0.00212
Grenada,1993,,,,,0
Guatemala,1993,0.9,1.03,2.03,0.63,0
Guinea,1993,,,,,0
Guinea-Bissau,1993,,,,,0
Guyana,1993,,,,,0
Haiti,1993,0.08,0.15,0.38,0.06,0
Honduras,1993,0.16,0.76,1.31,0.35,0
Hungary,1993,24.69,9.89,7.02,16.29,0
Iceland,1993,0.01,0.47,0.63,0.83,0
India,1993,333.36,174.67,91.78,80.12,5.00328
Indonesia,1993,62.28,52.25,40.07,26.63,12.41377
Iran,1993,53.85,45.7,49.3,67.61,15.84587
Iraq,1993,46.22,9.84,24.26,7.11,0.09104
Ireland,1993,12.03,4.6,5.51,9.15,0
Israel,1993,24,4.25,7.29,4.9,0
Italy,1993,134.41,74.75,104.42,77.43,0
Jamaica,1993,4.71,0.64,1.15,1.52,0
Japan,1993,410.06,265.29,229.86,168.99,0
Jordan,1993,4.66,1.31,2.72,2.15,0
Kazakhstan,1993,100.63,78.9,13.05,24.66,0
Kenya,1993,0.49,1.63,2.36,0.85,0
Kiribati,1993,,,,,0
Korea (North),1993,11.29,58.05,3.07,15.34,0
Korea (South),1993,94.63,76.99,60.85,71.72,0
Kuwait,1993,16.08,9.08,4.73,0.26,0.91025
Kyrgyzstan,1993,1.5,2.86,1.56,3.75,0
Laos,1993,,,,,0
Latvia,1993,5.26,1.56,2.29,2.54,0
Lebanon,1993,3.16,0.7,3.73,2.55,0
Lesotho,1993,,,,,0
Liberia,1993,,,,,0
Libya,1993,15.7,3.97,7.36,1.6,3.14945
Lithuania,1993,7.36,2.27,3.05,2.97,0
Luxembourg,1993,1.63,4.33,3.44,1.46,0
"Macedonia, FYR",1993,5.8,1.1,1.44,0.17,0
Madagascar,1993,,,,,0
Malawi,1993,,,,,0
Malaysia,1993,27.82,21.69,16.74,2.66,0
Maldives,1993,,,,,0
Mali,1993,,,,,0
Malta,1993,2.08,0,0.59,0.1,0
Mauritania,1993,,,,,0
Mauritius,1993,,,,,0
Mexico,1993,110.26,59.06,91.32,29.33,2.8468
Moldova,1993,10.37,1.25,1.38,3.85,0
Mongolia,1993,7.08,2.38,0.97,1.2,0
Montenegro,1993,,,,,
Morocco,1993,9.18,4.84,5.17,3.58,0
Mozambique,1993,0.06,0.2,0.84,0.18,0
Myanmar,1993,1.9,0.9,1.57,0.4,0
Namibia,1993,0.21,0.02,0.52,0.66,0
Nauru,1993,,,,,0
Nepal,1993,0.05,0.19,0.48,0.57,0
Netherlands,1993,63.39,35.87,27.55,41.18,0.27048
New Zealand,1993,5.38,7.06,9.34,2.33,0
Nicaragua,1993,0.73,0.25,0.94,0.17,0
Niger,1993,,,,,0
Nigeria,1993,11.69,5.39,15.91,4.31,46.91406
Niue,1993,,,,,0
Norway,1993,11.64,5.48,10.89,3.44,0.64987
Oman,1993,6.49,3.24,2.06,0.85,1.1105
Pakistan,1993,20.12,22.92,18.22,8.85,0
Palau,1993,,,,,
Panama,1993,1.07,0.72,1.52,0.25,0
Papua New Guinea,1993,,,,,0
Paraguay,1993,0.03,0.15,2.25,0.15,0
Peru,1993,4.09,4.9,6.98,4.23,0.40389
Philippines,1993,12.85,10.54,16.74,3.94,0
Poland,1993,197.23,49.23,20.68,68.15,0
Portugal,1993,18.75,8.84,11.77,3.93,0
Qatar,1993,9.93,5.59,1.66,0.11,0
Romania,1993,80.82,18.66,8.29,8.7,0
Russian Federation,1993,1087.8,222.06,233.59,284.71,0
Rwanda,1993,,,,,0
Saint Kitts & Nevis,1993,,,,,0
Saint Lucia,1993,,,,,0
Saint Vincent & Grenadines,1993,,,,,0
Samoa,1993,,,,,0
Sao Tome & Principe,1993,,,,,0
Saudi Arabia,1993,102.22,26.74,56.85,2.88,18.02287
Senegal,1993,0.95,0.28,0.75,0.28,0
Serbia,1993,30.93,4.6,2.67,3.98,
Seychelles,1993,,,,,0
Sierra Leone,1993,,,,,0
Singapore,1993,30.24,1.75,4.67,0.18,0
Slovakia,1993,17.54,11.83,2.91,11,0
Slovenia,1993,5.93,1.74,3.06,2.37,0
Solomon Islands,1993,,,,,0
South Africa,1993,154.68,48.03,29.92,19.36,0
Spain,1993,77.31,41.96,67.9,22.97,0.02615
Sri Lanka,1993,0.41,0.77,2.96,0.75,0
Sudan,1993,0.88,0.28,2.03,0.15,0
Suriname,1993,,,,,0
Swaziland,1993,,,,,0
Sweden,1993,11.86,14.92,19.33,9.65,0
Switzerland,1993,2.68,5.74,14.18,19.29,0
Syria,1993,8.62,5.84,7.43,7.77,0.66311
Taiwan,1993,68.31,38.76,26.12,9.03,0
Tajikistan,1993,1.28,0,0.29,3.41,0
Tanzania,1993,0.35,0.44,0.7,0.24,0
Thailand,1993,43.42,24.16,34.97,7.9,0
Togo,1993,0.07,0,0.17,0.02,0
Tonga,1993,,,,,0
Trinidad & Tobago,1993,5.25,4.88,1.21,0.23,4.37339
Tunisia,1993,4.67,3.41,2.93,2.92,0.79612
Turkey,1993,44.04,34.65,32.19,29.5,0.07329
Turkmenistan,1993,8.39,1.37,6.14,10.24,0
Uganda,1993,,,,,0
Ukraine,1993,257.41,130.69,35.11,63.31,0
United Arab Emirates,1993,17.1,29.85,12.47,0.26,0.92636
United Kingdom,1993,221.67,78.61,116.36,116.48,4.38574
United States of America,1993,2310.74,623.68,1446.71,626.1,12.75371
Uruguay,1993,0.62,0.72,1.93,1.11,0
Uzbekistan,1993,46.81,2.33,6.02,58.59,0
Vanuatu,1993,,,,,0
Venezuela,1993,43.46,30.26,31.59,5.43,6.86089
Vietnam,1993,2.74,7.25,6.83,4.16,1.40477
Yemen,1993,2.15,0,4.36,1.2,0
Zambia,1993,0.17,1.37,0.65,0.22,0
Zimbabwe,1993,7.89,3.84,1.95,2.73,0
World,1993,8862.22,4292.51,4135.03,3219.76,184.46443
European Union (15),1993,1107.45,546.74,719.6,648.31,5.7422
European Union (28),1993,1572.84,689.19,785.35,791.3,5.7422
Afghanistan,1994,,,,,0
Albania,1994,0.63,0.69,0.63,0.33,0.07248
Algeria,1994,24.93,7.73,15.37,8.1,14.09527
Angola,1994,0.42,1.68,1.53,0.63,2.42131
Antigua & Barbuda,1994,,,,,0
Argentina,1994,31.9,23.2,37.24,25.24,4.08835
Armenia,1994,0.82,0.73,0.16,1.05,0
Australia,1994,149.53,48.67,64.17,12.77,0.27767
Austria,1994,18.85,9.84,15.24,12.24,0
Azerbaijan,1994,16.84,9.48,3.24,6.21,0
Bahamas,1994,,,,,0
Bahrain,1994,6.84,3.4,1.18,0.16,0
Bangladesh,1994,6.07,5.07,2.19,3.24,0
Barbados,1994,,,,,0
Belarus,1994,42.11,11.03,6.67,10.44,0
Belgium,1994,32.81,31,22.74,28.93,0
Belize,1994,,,,,0
Benin,1994,0.03,0.02,0.12,0.04,0
Bhutan,1994,,,,,0
Bolivia,1994,1.83,0.81,2.75,0.71,2.43423
Bosnia & Herzegovina,1994,0.67,0.65,0.96,0.75,0
Botswana,1994,1.78,0.51,0.76,0.18,0
Brazil,1994,29.89,64.52,93.23,31.21,1.95298
Brunei,1994,3.16,0.19,0.72,0.06,0
Bulgaria,1994,34.49,8.99,3.9,5.24,0
Burkina Faso,1994,,,,,0
Burundi,1994,,,,,0
Cambodia,1994,,,,,0
Cameroon,1994,0.03,0.2,1.74,0.61,4.51476
Canada,1994,141.82,87.08,132.46,88.41,4.28313
Cape Verde,1994,,,,,0
Central African Republic,1994,,,,,0
Chad,1994,,,,,0
Chile,1994,9.27,10.12,12.21,4.57,0.22599
China,1994,1065.78,1116.42,132.43,460.39,0
Colombia,1994,12.34,19.42,16.85,7.5,0.32293
Comoros,1994,,,,,0
Congo,1994,0,0.06,0.36,0.07,2.36666
"Congo, Dem. Republic",1994,0.04,0.61,0.45,0.94,0
Cook Islands,1994,,,,,0
Costa Rica,1994,0.89,0.65,2.57,0.3,0
Cote d'Ivoire,1994,1.06,0.47,1.08,0.42,0
Croatia,1994,5.48,3.76,3.15,2.57,0
Cuba,1994,10.37,5.92,1.87,2.81,0
Cyprus,1994,2.35,1.21,1.37,0.2,0
Czech Republic,1994,63.8,27.75,8.74,19.89,0
Denmark,1994,35.86,5.75,11.51,8.05,0.40588
Djibouti,1994,,,,,0
Dominica,1994,,,,,0
Dominican Republic,1994,4.89,0.96,3.12,1.57,0
Ecuador,1994,1.81,2.79,7.21,2.13,1.17516
Egypt,1994,26.56,23,19.42,9.02,2.18469
El Salvador,1994,1.2,0.86,1.84,0.25,0
Equatorial Guinea,1994,,,,,0.92842
Eritrea,1994,0.32,0.05,0.28,0.05,0
Estonia,1994,13.68,1.82,1.39,0.87,0
Ethiopia,1994,0.07,0.59,0.96,0.51,0
Fiji,1994,,,,,0
Finland,1994,26.63,15.69,11.45,7.58,0
France,1994,51.09,77.64,120.79,95.17,0
Gabon,1994,0.25,0.43,0.31,0.18,3.24044
Gambia,1994,,,,,0
Georgia,1994,4.48,2.19,1.49,2.23,0
Germany,1994,376.24,139.31,164.81,188.14,1.34144
Ghana,1994,0.12,0.52,1.86,0.54,0
Greece,1994,39.87,8.93,16.53,7.84,0.00308
Grenada,1994,,,,,0
Guatemala,1994,1,1.08,2.15,0.65,0
Guinea,1994,,,,,0
Guinea-Bissau,1994,,,,,0
Guyana,1994,,,,,0
Haiti,1994,0.03,0.02,0.11,0.03,0
Honduras,1994,0.32,0.77,1.52,0.35,0
Hungary,1994,24.13,9.57,6.85,16.8,0
Iceland,1994,0.01,0.55,0.65,0.83,0
India,1994,347.93,185.55,95.91,88.92,4.00265
Indonesia,1994,63.5,56.26,44.89,27.54,9.47656
Iran,1994,57.3,50.39,56.17,81.42,16.34147
Iraq,1994,55.5,10.6,24.54,7.68,0.09124
Ireland,1994,12.48,4.88,5.75,9.32,0
Israel,1994,25.65,4.44,7.81,5.19,0
Italy,1994,136.84,77.31,104.07,69.09,0
Jamaica,1994,4.01,0.88,1.15,2.06,0
Japan,1994,452.7,268.65,241.75,164.21,0
Jordan,1994,4.83,1.67,2.72,2.27,0
Kazakhstan,1994,103.31,58.61,8.96,19.65,0
Kenya,1994,0.56,1.64,2.34,0.75,0
Kiribati,1994,,,,,0
Korea (North),1994,11.82,51.61,2.06,14.52,0
Korea (South),1994,105.96,85.41,63.9,73.77,0
Kuwait,1994,21.13,8.99,4.99,0.28,0.91037
Kyrgyzstan,1994,1.17,2.6,0.5,2.01,0
Laos,1994,,,,,0
Latvia,1994,4.42,1.42,2.12,2.12,0
Lebanon,1994,3.49,1.15,3.5,3.01,0
Lesotho,1994,,,,,0
Liberia,1994,,,,,0
Libya,1994,18.2,4.35,8.75,1.79,3.2224
Lithuania,1994,7.27,2.54,2.4,2.7,0
Luxembourg,1994,1.29,3.85,3.49,1.4,0
"Macedonia, FYR",1994,5.82,0.88,0.93,0.6,0
Madagascar,1994,,,,,0
Malawi,1994,,,,,0
Malaysia,1994,29.25,21.69,18.47,3.83,0
Maldives,1994,,,,,0
Mali,1994,,,,,0
Malta,1994,1.79,0,0.59,0.1,0
Mauritania,1994,,,,,0
Mauritius,1994,,,,,0
Mexico,1994,124.56,60.72,95.16,30.24,2.78755
Moldova,1994,7.97,0.99,1.16,3.57,0
Mongolia,1994,6.51,1.8,0.66,1.14,0
Montenegro,1994,,,,,
Morocco,1994,10.12,5.43,5.58,3.81,0
Mozambique,1994,0.03,0.2,0.69,0.15,0
Myanmar,1994,2.2,1.04,1.81,0.53,0
Namibia,1994,0.23,0.02,0.57,0.82,0
Nauru,1994,,,,,0
Nepal,1994,0.07,0.32,0.55,0.65,0
Netherlands,1994,65.85,36.02,28.06,39.59,0.29227
New Zealand,1994,4.72,7.26,10,2.67,0.05737
Nicaragua,1994,0.83,0.32,1,0.23,0
Niger,1994,,,,,0
Nigeria,1994,10.54,4.63,12.77,3.56,48.9896
Niue,1994,,,,,0
Norway,1994,12.29,6.4,10.73,3.61,0.71623
Oman,1994,7.1,1.86,2.09,0.97,0.83717
Pakistan,1994,22.36,22.8,19.27,9.52,0
Palau,1994,,,,,
Panama,1994,1.1,0.8,1.62,0.28,0
Papua New Guinea,1994,,,,,0
Paraguay,1994,0,0.33,2.54,0.17,0
Peru,1994,3.8,4.81,7.92,4.42,0.40389
Philippines,1994,15.03,9.95,18.29,4.11,0
Poland,1994,196.39,50.6,21.33,61.69,0
Portugal,1994,18.77,9.56,12.38,3.98,0
Qatar,1994,10.49,5.69,1.77,0.13,0
Romania,1994,68.79,28.02,8.81,7.33,0
Russian Federation,1994,1001.3,175.79,205.31,229.18,0
Rwanda,1994,,,,,0
Saint Kitts & Nevis,1994,,,,,0
Saint Lucia,1994,,,,,0
Saint Vincent & Grenadines,1994,,,,,0
Samoa,1994,,,,,0
Sao Tome & Principe,1994,,,,,0
Saudi Arabia,1994,106.46,33.14,60.61,2.99,18.56886
Senegal,1994,1,0.31,0.74,0.27,0
Serbia,1994,28.29,4.05,2.6,3.47,
Seychelles,1994,,,,,0
Sierra Leone,1994,,,,,0
Singapore,1994,31.6,1.85,5.08,0.19,0
Slovakia,1994,15.84,11.92,3.32,9.23,0
Slovenia,1994,5.53,2.03,3.41,2.15,0
Solomon Islands,1994,,,,,0
South Africa,1994,158.52,49.32,31.01,18.75,0
Spain,1994,79.26,46.19,70.22,24.2,0.00201
Sri Lanka,1994,0.44,0.74,3.45,0.83,0
Sudan,1994,0.67,1.04,2.95,0.18,0
Suriname,1994,,,,,0
Swaziland,1994,,,,,0
Sweden,1994,12.43,15.51,20.08,10.07,0
Switzerland,1994,2.88,6.01,14.54,17.46,0
Syria,1994,10.36,6.41,7.45,6.7,0.66927
Taiwan,1994,73.21,39.11,27.57,9.48,0
Tajikistan,1994,0.71,0,0.19,2.01,0
Tanzania,1994,0.43,0.43,0.7,0.24,0
Thailand,1994,47.91,30.47,38.86,8.04,0
Togo,1994,0.11,0.11,0.32,0.05,0
Tonga,1994,,,,,0
Trinidad & Tobago,1994,5.27,5.5,1.27,0.18,4.72429
Tunisia,1994,4.74,3.18,3.06,3,0.73468
Turkey,1994,49.46,31.53,31.27,26.41,0.11618
Turkmenistan,1994,11.3,1.5,3.35,16.37,0
Uganda,1994,,,,,0
Ukraine,1994,218.24,98.23,31.96,59.73,0
United Arab Emirates,1994,18.81,34.08,12.36,0.28,0.70984
United Kingdom,1994,216,79.57,116.73,113.68,5.78493
United States of America,1994,2335.26,636.17,1499.2,617.22,12.82237
Uruguay,1994,0.13,0.66,2.18,1.1,0
Uzbekistan,1994,41.49,6.75,5.97,58.23,0
Vanuatu,1994,,,,,0
Venezuela,1994,44.44,30.29,32.07,4.96,6.41992
Vietnam,1994,3.66,7.38,7.53,4.64,1.40528
Yemen,1994,2.33,0,4.4,1.34,0
Zambia,1994,0.15,0.92,0.8,0.2,0
Zimbabwe,1994,8.34,2.37,1.73,2.82,0
World,1994,8961.62,4332.16,4208.01,3114.68,186.42126
European Union (15),1994,1124.27,561.05,723.85,619.28,7.82961
European Union (28),1994,1568.23,710.68,791.23,750.17,7.82961
Afghanistan,1995,,,,,0
Albania,1995,0.33,0.59,0.62,0.32,0
Algeria,1995,25.85,7.88,14.96,8.03,14.56761
Angola,1995,0.41,1.83,1.06,0.66,6.80874
Antigua & Barbuda,1995,,,,,0
Argentina,1995,30.67,23.34,38.28,25.68,3.99728
Armenia,1995,1.38,0.57,0.11,1.35,0
Australia,1995,155.62,49.51,66.85,13.45,0.30393
Austria,1995,20.43,10.12,15.45,13.37,0
Azerbaijan,1995,15.33,10.23,3.34,5,0
Bahamas,1995,,,,,0
Bahrain,1995,6.63,3.62,1.23,0.15,0
Bangladesh,1995,6.7,7.44,2.64,3.74,0
Barbados,1995,,,,,0
Belarus,1995,36.56,8.44,6.62,9.8,0
Belgium,1995,32.69,29.35,22.6,30.56,0
Belize,1995,,,,,0
Benin,1995,0.03,0.03,0.12,0.04,0
Bhutan,1995,,,,,0
Bolivia,1995,2.17,0.89,3.06,0.77,0.90081
Bosnia & Herzegovina,1995,0.78,0.66,0.98,0.82,0
Botswana,1995,1.87,0.42,0.89,0.15,0
Brazil,1995,31.36,68.09,103.12,33.01,1.95298
Brunei,1995,3.46,0.21,0.77,0.06,0
Bulgaria,1995,35.05,10.16,4.15,3.93,0
Burkina Faso,1995,,,,,0
Burundi,1995,,,,,0
Cambodia,1995,0.16,0.03,1.16,0.12,0
Cameroon,1995,0.03,0.22,1.69,0.56,4.40547
Canada,1995,147.19,88.73,135.98,88.99,4.45945
Cape Verde,1995,,,,,0
Central African Republic,1995,,,,,0
Chad,1995,,,,,0
Chile,1995,10.33,10.63,13.5,4.47,0.1738
